2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/LoginToken.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.LoginToken
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/RecordedSentence.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.RecordedSentence
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/country/CountryMappingCourse.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.country.CountryMappingCourse
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/history/UserLessonHistory.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.history.UserLessonHistory
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/history/PhonemeLessonScore.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.history.PhonemeLessonScore
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/RecordedSentenceHistory.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.RecordedSentenceHistory
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/objectives/ObjectiveMapping.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.objectives.ObjectiveMapping
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/test/TestMapping.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.test.TestMapping
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/vrc/data/jdo/LanguageModelVersion.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.vrc.data.jdo.LanguageModelVersion
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/history/SessionScore.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.history.SessionScore
2015-11-16 16:01:20 INFO  Enhancer:77 - Writing class file "/Users/cmg/git/pronunciation/vrc-server/target/classes/com/cmg/lesson/data/jdo/lessons/LessonCollection.class" with enhanced definition
2015-11-16 16:01:20 INFO  Enhancer:77 - ENHANCED (Persistable) : com.cmg.lesson.data.jdo.lessons.LessonCollection
2015-11-16 16:01:20 INFO  Enhancer:77 - DataNucleus Enhancer completed with success for 41 classes. Timings : input=1003 ms, enhance=2174 ms, total=3177 ms. Consult the log for full details
